temp_avg;temp_max;temp_min;precipitation;humidity;wind;pressure;month;year
17,2;23,8;8,5;;40;3;;6;2
17,5;24,0;10,3;4,5;60;3;;6;2
15,1;22,0;11,0;;50;3;;6;2
13,1;18,0;8,0;;58;3;;6;2
14,5;22,0;5,0;;49;6;;6;2
16,1;24,0;7,0;0,1;56;4;;6;2
16,8;22,0;12,0;0,3;78;3;;6;2
14,7;22,0;10,7;2,2;60;5;;6;2
13,7;19,0;7,0;;74;6;;6;2
15,9;20,0;8,0;;58;8;;6;2
14,8;20,0;12,5;23,2;93;3;;6;2
17,9;25,0;13,0;;87;7;;6;2
20,4;26,0;15,0;;66;5;;6;2
23,5;32,0;16,0;1,8;56;9;;6;2
20,0;30,0;14,0;8,8;56;3;;6;2
21,8;27,1;16,3;2,3;52;4;;6;2
23,0;27,1;18,5;3,4;67;7;;6;2
19,4;27,0;18,0;4,2;94;6;;6;2
22,0;28,0;16,0;;79;4;;6;2
22,9;28,0;18,0;14,0;94;10;;6;2
24,5;32,0;18,0;;68;6;;6;2
24,8;30,0;20,0;;62;6;;6;2
24,6;32,0;18,5;1,0;56;4;;6;2
20,1;29,0;19,4;;77;3;;6;2
18,5;22,0;16,4;;81;2;;6;2
20,1;27,0;12,0;;56;3;;6;2
20,9;31,0;13,0;;54;3;;6;2
22,5;31,0;16,0;;63;3;;7;2
24,3;30,0;18,0;;51;5;;7;2
19,7;30,0;17,0;13,2;74;6;;7;2
18,4;24,0;13,0;;53;5;;7;2
17,8;25,0;11,0;;54;3;;7;2
19,1;25,0;14,0;2,4;62;10;;7;2
15,1;21,0;12,0;0,0;74;12;;7;2
16,8;23,2;9,0;;57;5;;7;2
15,0;23,2;12,0;7,5;85;4;;7;2
17,2;24,0;11,0;;77;6;;7;2
20,9;31,0;11,0;;55;6;;7;2
24,5;32,0;16,0;;59;6;;7;2
23,6;32,0;16,0;1,0;53;7;;7;2
21,6;28,0;18,0;6,8;89;6;;7;2
16,2;28,0;12,0;;69;7;;7;2
17,3;22,5;13,0;2,0;71;6;;7;2
17,0;22,5;14,6;34,0;95;5;;7;2
16,4;19,0;14,0;17,0;92;6;;7;2
16,1;19,0;13,0;;81;6;;7;2
18,1;23,0;14,0;;68;5;;7;2
17,6;24,0;11,0;;55;9;;7;2
18,6;25,0;11,0;;55;4;;7;2
18,0;25,0;11,0;;67;2;;7;2
20,8;29,0;12,0;;65;3;;7;2
22,3;30,0;15,0;;68;5;;7;2
23,0;32,0;16,5;0,4;58;3;;7;2
23,1;32,0;17,5;;77;6;;7;2
22,3;30,0;16,0;1,0;64;3;;7;2
21,1;27,0;16,5;;80;3;;7;2
20,9;28,0;13,5;;59;3;;7;2
22,6;31,0;14,5;;67;4;;7;2
21,3;30,0;18,0;0,6;71;6;;8;2
